Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
125,-0.016,-0.05,-0.107,-0.127,-0.125,0.098,-0.036,-0.076,0.034,0.005,0.121,-0.033,-0.061,0.044,-0.103,0.056,-0.024
126,0.088,0.11,-0.065,0.065,-0.044,0.072,0.015,0.149,-0.037,0.127,-0.127,0.051,-0.087,-0.02,0.038,0.051,0.024
127,-0.119,0.117,-0.037,-0.117,0.019,0.009,-0.054,0.08,0.001,0.035,-0.119,0.098,0.097,0.014,-0.043,-0.038,-0.004
128,-0.033,0.122,0.114,0.117,0.14,-0.079,-0.013,0.049,-0.083,-0.037,0.138,-0.106,0.025,0.093,0.055,0.051,0.035
129,0.081,-0.089,-0.087,-0.125,0,-0.069,-0.033,-0.055,0.067,0.028,0.07,0.051,-0.021,0.022,0.057,-0.12,-0.014
130,0.085,-0.063,-0.052,0.073,0.048,0.073,0.104,0.002,0.142,-0.117,0.052,0.037,0.072,0.056,0.149,-0.063,0.037
131,0.148,-0.103,-0.109,0.02,0.054,-0.021,0.095,-0.109,0.098,-0.015,0.019,0.043,-0.061,0.113,-0.028,-0.111,0.002
132,0.12,0.081,0.061,0.061,0.018,0.06,0.057,-0.122,-0.111,-0.102,-0.062,-0.094,0.101,0.109,0.068,-0.03,0.013
133,0.107,0.065,-0.099,-0.107,0.101,-0.048,0.042,0.026,0.005,-0.072,-0.096,-0.094,0.071,-0.02,-0.105,0.112,-0.007
134,0.073,0.107,-0.072,-0.025,0.148,0.132,0.099,0.04,0.089,0.103,0.124,-0.109,0.141,0.069,0.021,0.012,0.06
135,0.121,0.09,0.042,0.047,0.145,-0.022,0.058,0.146,-0.036,-0.04,0.104,0.025,0.139,-0.028,0.06,0.1,0.059
136,0.106,0.118,0.094,0.092,0.134,-0.075,-0.079,-0.113,0.045,-0.027,-0.118,-0.089,-0.015,0.054,0.041,-0.037,0.008
137,0.035,-0.106,-0.061,0.149,0.027,0.043,0.046,0.086,-0.021,0.104,-0.096,-0.066,0.012,0.125,-0.041,-0.064,0.011
138,-0.085,0.117,0.121,-0.012,-0.105,0.061,0.038,-0.05,-0.052,-0.124,-0.046,0.001,-0.076,0.002,-0.116,0.055,-0.017
139,0.059,0.04,0.065,-0.122,-0.025,0.1,0.11,0.123,-0.009,-0.105,0.125,-0.037,-0.033,-0.022,0.115,0.009,0.025
140,0.142,-0.045,0.014,0.142,0.008,-0.015,0.054,-0.096,-0.118,-0.113,-0.026,-0.011,-0.003,0.101,0.103,-0.015,0.008
141,-0.099,0.09,0,0.1,0.1,0.007,0.079,-0.093,-0.129,-0.111,0.013,0.056,-0.086,0.024,0.037,0.137,0.008
142,0.118,0.007,0.062,-0.067,-0.126,-0.07,0.048,-0.112,-0.107,-0.069,-0.125,-0.002,0.136,0.131,-0.117,-0.024,-0.02
143,-0.082,0.135,0.04,0.029,0.09,0.021,0.134,-0.009,-0.076,0.134,0.051,-0.126,0.1,0.042,-0.024,-0.069,0.024
144,-0.128,0.111,-0.055,-0.061,-0.038,0.064,0.108,0.076,-0.037,-0.118,0.044,0.117,0.068,0.117,-0.099,0.089,0.016
145,-0.032,-0.104,-0.04,-0.093,-0.02,-0.026,0.012,-0.042,0.129,0.128,0.021,0.123,-0.027,0.075,0.102,0.025,0.014
146,-0.1,-0.095,0.034,0.123,-0.002,0.061,0.063,-0.018,-0.059,-0.082,0.014,-0.077,0.117,-0.074,-0.102,0.125,-0.004
147,0.093,0.034,-0.013,0.023,-0.125,0.009,-0.021,-0.029,0.006,-0.089,-0.03,-0.018,-0.022,-0.061,0.042,0.107,-0.006
